Rank,Company,Website,Glassdoor Review prefix
1,Walmart,www.walmart.com,https://www.glassdoor.com/Reviews/Walmart-Reviews-E715.htm
2,Exxon Mobil,www.exxonmobil.com,https://www.glassdoor.com/Reviews/ExxonMobil-Reviews-E237.htm
3,Apple,www.apple.com,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138.htm
4,Berkshire Hathaway,www.berkshirehathaway.com,
5,McKesson,www.mckesson.com,
6,UnitedHealth Group,www.unitedhealthgroup.com,https://www.glassdoor.com/Reviews/UnitedHealth-Group-Reviews-E1991.htm
7,CVS Health,www.cvshealth.com,https://www.glassdoor.com/Reviews/CVS-Health-Reviews-E437.htm
8,General Motors,www.gm.com,
9,Ford Motor,www.ford.com,https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm
10,AT&T,www.att.com,https://www.glassdoor.com/Reviews/AT-and-T-Reviews-E613.htm
11,General Electric,www.ge.com,https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm
12,AmerisourceBergen,www.amerisourcebergen.com,
13,Verizon,www.verizon.com,https://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm
14,Chevron,www.chevron.com,
15,Costco,www.costco.com,https://www.glassdoor.com/Reviews/Costco-Wholesale-Reviews-E2590.htm
16,Fannie Mae,www.fanniemae.com,
17,Kroger,www.thekrogerco.com,https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm
18,Amazon.com,www.amazon.com,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm
19,Walgreens Boots Alliance,www.walgreensbootsalliance.com,
20,HP,www.hp.com,https://www.glassdoor.com/Reviews/Hewlett-Packard-Reviews-E327.htm
21,Cardinal Health,www.cardinal.com,
22,Express Scripts Holding,www.express-scripts.com,
23,J.P. Morgan Chase,www.jpmorganchase.com,https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm
24,Boeing,www.boeing.com,https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm
25,Microsoft,www.microsoft.com,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm
26,Bank of America Corp.,www.bankofamerica.com,https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm
27,Wells Fargo,www.wellsfargo.com,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm
28,Home Depot,www.homedepot.com,https://www.glassdoor.com/Reviews/The-Home-Depot-Reviews-E655.htm
29,Citigroup,www.citigroup.com,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm
30,Phillips 66,www.phillips66.com,https://www.glassdoor.com/Reviews/Phillips-66-Reviews-E498821.htm
31,IBM,www.ibm.com,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm
32,Valero Energy,www.valero.com,
33,Anthem,www.antheminc.com,
34,Procter & Gamble,www.pg.com,https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm
35,State Farm Insurance Cos.,www.statefarm.com,https://www.glassdoor.com/Reviews/State-Farm-Reviews-E2990.htm
36,Alphabet,www.google.com,https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm
37,Comcast,www.comcastcorporation.com,https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm
38,Target,www.target.com,https://www.glassdoor.com/Reviews/Target-Reviews-E194.htm
39,Johnson & Johnson,www.jnj.com,
40,MetLife,www.metlife.com,
41,Archer Daniels Midland,www.adm.com,
42,Marathon Petroleum,www.marathonpetroleum.com,
43,Freddie Mac,www.freddiemac.com,
44,PepsiCo,www.pepsico.com,
45,United Technologies,www.utc.com,
46,Aetna,www.aetna.com,
47,Lowe’s,www.lowes.com,
48,UPS,www.ups.com,https://www.glassdoor.com/Reviews/UPS-Reviews-E3012.htm
49,AIG,www.aig.com,
50,Prudential Financial,www.prudential.com,
51,Intel,www.intel.com,
52,Humana,www.humana.com,
53,Disney,www.disney.com,https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm
54,Cisco Systems,www.cisco.com,
55,Pfizer,www.pfizer.com,https://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm
56,Dow Chemical,www.dow.com,
57,Sysco,www.sysco.com,
58,FedEx,www.fedex.com,https://www.glassdoor.com/Reviews/FedEx-Reviews-E246.htm
59,Caterpillar,www.caterpillar.com,https://www.glassdoor.com/Reviews/Caterpillar-Reviews-E137.htm
60,Lockheed Martin,www.lockheedmartin.com,https://www.glassdoor.com/Reviews/Lockheed-Martin-Reviews-E404.htm
61,New York Life Insurance,www.newyorklife.com,
62,Coca-Cola,www.coca-colacompany.com,https://www.glassdoor.com/Reviews/Coca-Cola-Company-Reviews-E161.htm
63,HCA Holdings,www.hcahealthcare.com,
64,Ingram Micro,www.ingrammicro.com,
65,Energy Transfer Equity,www.energytransfer.com,
66,Tyson Foods,www.tysonfoods.com,
67,American Airlines Group,www.aa.com,"https://www.glassdoor.com/Overview/Working-at-American-Airlines-EI_IE8.11,28.htm"
68,Delta Air Lines,www.delta.com,https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm
69,Nationwide,www.nationwide.com,https://www.glassdoor.com/Reviews/Nationwide-Reviews-E2913.htm
70,Johnson Controls,www.johnsoncontrols.com,
71,Best Buy,www.bestbuy.com,https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm
72,Merck,www.merck.com,https://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm
73,Liberty Mutual Insurance Group,www.libertymutual.com,
74,Goldman Sachs Group,www.gs.com,
75,Honeywell International,www.honeywell.com,https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm
76,Massachusetts Mutual Life Insurance,www.massmutual.com,
77,Oracle,www.oracle.com,
78,Morgan Stanley,www.morganstanley.com,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm
79,Cigna,www.cigna.com,
80,United Continental Holdings,www.unitedcontinentalholdings.com,
81,Allstate,www.allstate.com,
82,TIAA,www.tiaa.org,
83,INTL FCStone,www.intlfcstone.com,
84,CHS,www.chsinc.com,
85,American Express,www.americanexpress.com,https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm
86,Gilead Sciences,www.gilead.com,
87,Publix Super Markets,www.publix.com,
88,General Dynamics,www.generaldynamics.com,
89,TJX,www.tjx.com,
90,ConocoPhillips,www.conocophillips.com,
91,Nike,www.nike.com,https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm
92,World Fuel Services,www.wfscorp.com,
93,3M,www.3m.com,https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm
94,Mondelez International,www.mondelezinternational.com,
95,Exelon,www.exeloncorp.com,
96,Twenty-First Century Fox,www.21cf.com,
97,Deere,www.johndeere.com,
98,Tesoro,www.tsocorp.com,
99,Time Warner,www.timewarner.com,
100,Northwestern Mutual,www.northwesternmutual.com,
101,DuPont,www.dupont.com,
102,Avnet,www.avnet.com,
103,Macy’s,www.macysinc.com,
104,Enterprise Products Partners,www.enterpriseproducts.com,
105,Travelers Cos.,www.travelers.com,https://www.glassdoor.com/Reviews/Travelers-Reviews-E1904.htm
106,Philip Morris International,www.pmi.com,
107,Rite Aid,www.riteaid.com,
108,Tech Data,www.techdata.com,
109,McDonald’s,www.aboutmcdonalds.com,
